Date,Upvotes,Flair,CB1,CB2,CB3,Ronaldo_Posts,Ronaldo_Comments,Others_Post,Player_Names
3/11/2020,11200,Media,Player Highlight,Neutral,Off-Topic,No,No,Yes,Luisinho
10/15/2020,3100,No Flair,Transfer Rumour,Neutral,Discussive,No,No,No,
6/27/2022,131,News,Team Related,Positive,Celebratory,No,No,No,
12/30/2022,575,News,Mocking the League,Negative,Mocking,Yes,Yes,No,
1/22/2023,2000,News,"Team Related, Player Related",Neutral,Mocking,Yes,Yes,No,
3/23/2023,257,Discussion,Mocking a Player,Negative,Negatory,Yes,Yes,No,
3/27/2023,16,Discussion,Inter-League Comparision,Neutral,Off-Topic,No,Yes,No,
4/24/2023,150,News,Match Result,Neutral,Discussive,Yes,Yes,Yes,Beauguel
5/11/2023,222,Discussion,In Opposition to the League / League Practices,Neutral,Critical,No,Yes,No,
6/5/2023,5400,Transfers,Player Signing,Neutral,Discussive,No,Yes,Yes,Benzema
6/6/2023,0,Media,Team Highlight,Neutral,Off-Topic,No,Yes,No,
6/19/2023,30,Discussion,Comment on the League,Neutral,Critical,No,Yes,Yes,Neves
6/19/2023,5800,News,In Opposition to the League / League Practices,Negative,Critical,No,Yes,No,
6/20/2023,6900,Quotes,Transfer Rumour,Negative,Off-Topic,No,No,No,
6/25/2023,3500,Team Official Source,Player Signing,Neutral,Discussive,No,No,Yes,Koulibaly
7/7/2023,0,Discussion,Discussion About the League,Negative,Negatory,Yes,Yes,Yes,"Firmino, Kante, Benzema"
7/7/2023,261,Discussion,Team Related,Neutral,Off-Topic,No,No,No,
7/15/2023,52,Question,Discussion About the League,Negative,Negatory,No,Yes,No,
7/17/2023,494,No Flair,Supporting the League,Positive,Mocking,Yes,Yes,No,
7/20/2023,179,Discussion,In Opposition to the League / League Practices,Negative,Critical,Yes,Yes,No,
7/23/2023,0,Discussion,Inter-League Comparision,Negative,Critical,No,No,No,
7/25/2023,161,News,Transfer Rumour,Negative,Critical,Yes,Yes,No,
7/27/2023,7400,Quotes,Player Related,Neutral,Off-Topic,No,Yes,Yes,Ighalo
7/29/2023,0,Premier League,In Opposition to the League / League Practices,Neutral,Indifferent,No,No,No,
7/29/2023,3700,Stats,League Stats,Neutral,Discussive,No,No,No,
7/29/2023,3200,No Flair,Player Related,Negative,Critical,Yes,Yes,Yes,Ighalo
7/31/2023,151,Discussion,Discussion About the League,Neutral,Off-Topic,No,Yes,No,
8/13/2023,122,Discussion,In Opposition to the League / League Practices,Negative,Discussive,No,Yes,No,"Mane, Neymar, Firmino"
8/14/2023,128,Discussion,Discussion About the League,Negative,Critical,No,Yes,Yes,Neymar
8/14/2023,0,Discussion,Discussion About the League,Positive,Critical,No,Yes,No,
8/14/2023,507,Discussion,Player Related,Neutral,Critical,No,Yes,Yes,Neymar
8/14/2023,0,Poll,Discussion About the League,Negative,Discussive,No,Yes,No,
8/14/2023,0,Post Match Thread,Match Result,Neutral,Critical,No,Yes,No,
8/15/2023,282,Culture,Discussion About the League,Neutral,Off-Topic,No,Yes,Yes,Neymar
8/15/2023,4,Discussion,In Opposition to the League / League Practices,Neutral,Discussive,No,No,No,
8/15/2023,6100,Stats,League Stats,Neutral,Discussive,No,No,No,
8/15/2023,5300,Team Official Source,Transfer Rumour,Neutral,Off-Topic,No,Yes,Yes,Neymar
8/16/2023,1200,Media,Player Related,Neutral,Mocking,Yes,Yes,Yes,Neymar
8/16/2023,294,No Flair,Discussion About the League,Negative,Critical,No,No,No,
8/17/2023,14,Discussion,In Opposition to the League / League Practices,Negative,Negatory,Yes,Yes,No,
8/18/2023,1100,News,Discussion About the League,Negative,Off-Topic,No,Yes,No,
8/22/2023,5500,News,Discussion About the League,Negative,Critical,No,No,No,
8/24/2023,0,Discussion,Supporting the League,Neutral,Off-Topic,No,Yes,No,
8/24/2023,123,Discussion,Discussion About the League,Negative,Negatory,No,Yes,No,
8/25/2023,0,Discussion,Discussion About the League,Neutral,Serious,No,Yes,No,
8/31/2023,181,Quotes,Comment on the League,Neutral,Debatory,No,Yes,No,
8/31/2023,7600,Quotes,In Opposition to the League / League Practices,Negative,Agreeing,No,Yes,No,
9/3/2023,155,Discussion,Player Related,Neutral,Off-Topic,Yes,Yes,No,
9/6/2023,4200,News,Player Related,Negative,Off-Topic,Yes,Yes,No,
9/7/2023,2300,Quotes,Player Related,Neutral,Mocking,No,No,Yes,Neymar
